Title,Author(s),Year,Objective/Purpose,Methodology,Results,DOI,Link,ScopusID,Search Link,Direct Link
Optimizing heat pump and electric vehicle flexibility through predictive home energy management systems within urban energy digital twins,Bayer D.R.,2026,,N/A,N/A,10.1016/j.enbuild.2026.117674,,105040791020,https://api.elsevier.com/content/abstract/scopus_id/105040791020,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105040791020&origin=inward
Advanced control strategies for high-temperature heat pumps: a review,Zhu Z.,2026,,N/A,N/A,10.1016/j.ecmx.2026.101975,,105040576091,https://api.elsevier.com/content/abstract/scopus_id/105040576091,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105040576091&origin=inward
A gradient boosting surrogate-assisted multi-objective optimization framework for steam thermal power plants,Khoshgoftar Manesh M.H.,2026,,N/A,N/A,10.1016/j.egyr.2026.109059,,105029376949,https://api.elsevier.com/content/abstract/scopus_id/105029376949,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029376949&origin=inward
Reinforcement learning-based real-time control of a reversible pump turbine for reduced response time in pumped hydropower,Tubeuf C.,2026,,N/A,N/A,10.1016/j.egyai.2026.100755,,105036157296,https://api.elsevier.com/content/abstract/scopus_id/105036157296,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105036157296&origin=inward
State estimation and flexibility activation in distribution feeders within a digital twin framework,Ghoreishi M.,2026,,N/A,N/A,10.1016/j.ijepes.2026.111871,,105036343022,https://api.elsevier.com/content/abstract/scopus_id/105036343022,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105036343022&origin=inward
Modelling of borehole thermal energy storages: A g-function approach with a novel load aggregation scheme,Miceli A.V.,2026,,N/A,N/A,10.1016/j.enconman.2025.120666,,105020933615,https://api.elsevier.com/content/abstract/scopus_id/105020933615,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105020933615&origin=inward
Simulation and Optimization of Heating Networks,Bossinov D.,2026,,N/A,N/A,10.4028/p-bRI8lY,,105034368959,https://api.elsevier.com/content/abstract/scopus_id/105034368959,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034368959&origin=inward
"Dynamic, Unconstrained Optimization of Secreted Enzyme Production in Fed-Batch Fermentation Using Reinforcement Learning",Uthravalli S.H.,2026,,N/A,N/A,10.1002/bit.70234,,105038391915,https://api.elsevier.com/content/abstract/scopus_id/105038391915,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105038391915&origin=inward
A closed-loop microneedle-integrated physiological model for predictive glycemic management,Fratus M.,2025,,N/A,N/A,10.1073/pnas.2523517122,,105025600681,https://api.elsevier.com/content/abstract/scopus_id/105025600681,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025600681&origin=inward
A Digital Twin for Real-Time and Predictive Optimization of Electric Vehicle Charging in Microgrids Integrating Renewable Energy Sources,Testasecca T.,2025,,N/A,N/A,10.3390/en18215605,,105021589695,https://api.elsevier.com/content/abstract/scopus_id/105021589695,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105021589695&origin=inward
Conceptual development and implementation of a digital twin model for managing saltwater intrusion of an island coastal aquifer,Sharan A.,2025,,N/A,N/A,10.1007/s10661-025-14553-x,,105017185198,https://api.elsevier.com/content/abstract/scopus_id/105017185198,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017185198&origin=inward
Sensor-Based Monitoring Data from an Industrial System of Centrifugal Pumps,Martone A.,2025,,N/A,N/A,10.3390/data10060091,,105009333458,https://api.elsevier.com/content/abstract/scopus_id/105009333458,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009333458&origin=inward
MATLAB Simulink-Based Modelling and Performance Analysis of District Heating Substations for Renewable Energy Integration,Kiss G.R.,2025,,N/A,N/A,10.3390/en18092370,,105004847636,https://api.elsevier.com/content/abstract/scopus_id/105004847636,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105004847636&origin=inward
Scalable Data Transformation Models for Physics-Informed Neural Networks (PINNs) in Digital Twin-Enabled Prognostics and Health Management (PHM) Applications,Barimah A.K.,2025,,N/A,N/A,10.3390/computers14040121,,105003449617,https://api.elsevier.com/content/abstract/scopus_id/105003449617,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003449617&origin=inward
Flow Heat Transfer Characteristics and Dynamic Response of Once-Through Cooling Water System in Nuclear Power Plants Under Complex Operating Conditions,Huang Q.,2025,,N/A,N/A,10.3390/en18051207,,86000649729,https://api.elsevier.com/content/abstract/scopus_id/86000649729,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=86000649729&origin=inward
"Operation optimization in large-scale heat pump systems: A scheduling framework integrating digital twin modelling, demand forecasting, and MILP",Aguilera J.J.,2024,,N/A,N/A,10.1016/j.apenergy.2024.124259,,85201787084,https://api.elsevier.com/content/abstract/scopus_id/85201787084,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201787084&origin=inward
